entry_id,batch_id,candidate_webp,candidate_png,final_webp,final_png,size,old_final_webp_bytes,new_final_webp_bytes,old_final_png_bytes,new_final_png_bytes
F-154,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-154_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-154_candidate.png,assets/ponchi/final/F-154.webp,assets/ponchi/final/F-154.png,1254x627,60136,85514,782131,91502
F-160,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-160_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-160_candidate.png,assets/ponchi/final/F-160.webp,assets/ponchi/final/F-160.png,1254x627,41722,86216,680584,76870
F-161,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-161_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-161_candidate.png,assets/ponchi/final/F-161.webp,assets/ponchi/final/F-161.png,1254x627,41532,46450,711585,48075
F-162,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-162_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-162_candidate.png,assets/ponchi/final/F-162.webp,assets/ponchi/final/F-162.png,1254x627,52854,62686,720264,59995
F-170,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-170_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-170_candidate.png,assets/ponchi/final/F-170.webp,assets/ponchi/final/F-170.png,1254x627,39606,73632,697715,73972
F-171,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-171_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-171_candidate.png,assets/ponchi/final/F-171.webp,assets/ponchi/final/F-171.png,1254x627,56684,66252,756495,76972
F-172,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-172_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-172_candidate.png,assets/ponchi/final/F-172.webp,assets/ponchi/final/F-172.png,1254x627,30966,57762,663401,65040
F-180,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-180_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-180_candidate.png,assets/ponchi/final/F-180.webp,assets/ponchi/final/F-180.png,1254x627,43604,80348,701529,87951
F-181,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-181_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-181_candidate.png,assets/ponchi/final/F-181.webp,assets/ponchi/final/F-181.png,1254x627,36398,97744,683312,98619
F-190,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-190_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-190_candidate.png,assets/ponchi/final/F-190.webp,assets/ponchi/final/F-190.png,1254x627,33274,67900,661016,80333
F-200,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/F-200_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/F-200_candidate.png,assets/ponchi/final/F-200.webp,assets/ponchi/final/F-200.png,1254x627,47102,71972,735969,89680
G-1,ponchi-batch-011,assets/ponchi/final_candidates/ponchi-batch-011/G-1_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-011/G-1_candidate.png,assets/ponchi/final/G-1.webp,assets/ponchi/final/G-1.png,1254x627,29978,74850,450337,73772
G-10,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-10_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-10_candidate.png,assets/ponchi/final/G-10.webp,assets/ponchi/final/G-10.png,1254x627,36236,61708,506895,59392
G-11,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-11_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-11_candidate.png,assets/ponchi/final/G-11.webp,assets/ponchi/final/G-11.png,1254x627,39680,66854,486922,60275
G-12,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-12_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-12_candidate.png,assets/ponchi/final/G-12.webp,assets/ponchi/final/G-12.png,1254x627,40210,83678,676047,80555
G-13,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-13_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-13_candidate.png,assets/ponchi/final/G-13.webp,assets/ponchi/final/G-13.png,1254x627,20590,54932,294050,53769
G-14,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-14_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-14_candidate.png,assets/ponchi/final/G-14.webp,assets/ponchi/final/G-14.png,1254x627,24594,66190,343188,65618
G-15,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-15_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-15_candidate.png,assets/ponchi/final/G-15.webp,assets/ponchi/final/G-15.png,1254x627,26392,84352,442689,92584
G-16,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-16_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-16_candidate.png,assets/ponchi/final/G-16.webp,assets/ponchi/final/G-16.png,1254x627,19170,61318,319604,62471
G-17,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-17_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-17_candidate.png,assets/ponchi/final/G-17.webp,assets/ponchi/final/G-17.png,1254x627,32690,68082,633120,68404
G-18,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-18_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-18_candidate.png,assets/ponchi/final/G-18.webp,assets/ponchi/final/G-18.png,1254x627,27044,60394,464592,60853
G-19,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-19_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-19_candidate.png,assets/ponchi/final/G-19.webp,assets/ponchi/final/G-19.png,1254x627,35028,50896,443648,48685
G-20,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-20_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-20_candidate.png,assets/ponchi/final/G-20.webp,assets/ponchi/final/G-20.png,1254x627,38812,74530,635954,71090
G-21,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-21_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-21_candidate.png,assets/ponchi/final/G-21.webp,assets/ponchi/final/G-21.png,1254x627,34136,90828,613521,78707
G-2,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-2_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-2_candidate.png,assets/ponchi/final/G-2.webp,assets/ponchi/final/G-2.png,1254x627,26154,88624,505603,86091
G-3,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-3_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-3_candidate.png,assets/ponchi/final/G-3.webp,assets/ponchi/final/G-3.png,1254x627,23690,62688,293516,57816
G-4,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-4_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-4_candidate.png,assets/ponchi/final/G-4.webp,assets/ponchi/final/G-4.png,1254x627,19770,62350,543045,62316
G-5,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-5_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-5_candidate.png,assets/ponchi/final/G-5.webp,assets/ponchi/final/G-5.png,1254x627,34582,65808,419745,61027
G-6,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-6_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-6_candidate.png,assets/ponchi/final/G-6.webp,assets/ponchi/final/G-6.png,1254x627,26044,99912,338250,85357
G-7,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-7_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-7_candidate.png,assets/ponchi/final/G-7.webp,assets/ponchi/final/G-7.png,1254x627,24564,74656,430223,68623
G-8,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-8_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-8_candidate.png,assets/ponchi/final/G-8.webp,assets/ponchi/final/G-8.png,1254x627,27088,70200,610306,70453
G-9,ponchi-batch-012,assets/ponchi/final_candidates/ponchi-batch-012/G-9_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-012/G-9_candidate.png,assets/ponchi/final/G-9.webp,assets/ponchi/final/G-9.png,1254x627,33572,59502,611525,57128
G-22,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-22_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-22_candidate.png,assets/ponchi/final/G-22.webp,assets/ponchi/final/G-22.png,1254x627,33678,45410,596412,544552
G-23,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-23_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-23_candidate.png,assets/ponchi/final/G-23.webp,assets/ponchi/final/G-23.png,1254x627,38264,66518,629591,73679
G-30,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-30_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-30_candidate.png,assets/ponchi/final/G-30.webp,assets/ponchi/final/G-30.png,1254x627,21778,46918,375564,54471
G-31,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-31_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-31_candidate.png,assets/ponchi/final/G-31.webp,assets/ponchi/final/G-31.png,1254x627,17634,42066,236366,48046
G-32,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-32_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-32_candidate.png,assets/ponchi/final/G-32.webp,assets/ponchi/final/G-32.png,1254x627,16690,35316,320480,500623
G-33,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-33_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-33_candidate.png,assets/ponchi/final/G-33.webp,assets/ponchi/final/G-33.png,1254x627,23484,49170,355707,56164
G-34,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-34_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-34_candidate.png,assets/ponchi/final/G-34.webp,assets/ponchi/final/G-34.png,1254x627,26300,55110,319922,64836
G-35,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-35_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-35_candidate.png,assets/ponchi/final/G-35.webp,assets/ponchi/final/G-35.png,1254x627,28228,50232,331971,622472
G-36,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-36_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-36_candidate.png,assets/ponchi/final/G-36.webp,assets/ponchi/final/G-36.png,1254x627,39770,44862,515198,573473
G-38,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-38_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-38_candidate.png,assets/ponchi/final/G-38.webp,assets/ponchi/final/G-38.png,1254x627,31324,43508,455836,595166
G-39,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-39_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-39_candidate.png,assets/ponchi/final/G-39.webp,assets/ponchi/final/G-39.png,1254x627,22030,47514,297800,55755
G-40,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-40_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-40_candidate.png,assets/ponchi/final/G-40.webp,assets/ponchi/final/G-40.png,1254x627,25568,43142,350231,551301
G-41,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-41_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-41_candidate.png,assets/ponchi/final/G-41.webp,assets/ponchi/final/G-41.png,1254x627,26262,47294,364589,542953
G-42,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-42_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-42_candidate.png,assets/ponchi/final/G-42.webp,assets/ponchi/final/G-42.png,1254x627,29164,44774,317060,540699
G-43,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-43_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-43_candidate.png,assets/ponchi/final/G-43.webp,assets/ponchi/final/G-43.png,1254x627,25346,51110,307504,67907
G-44,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-44_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-44_candidate.png,assets/ponchi/final/G-44.webp,assets/ponchi/final/G-44.png,1254x627,22678,54732,242803,57005
G-45,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-45_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-45_candidate.png,assets/ponchi/final/G-45.webp,assets/ponchi/final/G-45.png,1254x627,48190,58112,693591,64725
G-46,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-46_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-46_candidate.png,assets/ponchi/final/G-46.webp,assets/ponchi/final/G-46.png,1254x627,23394,67982,304109,75150
G-47,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/G-47_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/G-47_candidate.png,assets/ponchi/final/G-47.webp,assets/ponchi/final/G-47.png,1254x627,26164,36964,316844,41870
H-1,ponchi-batch-013,assets/ponchi/final_candidates/ponchi-batch-013/H-1_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-013/H-1_candidate.png,assets/ponchi/final/H-1.webp,assets/ponchi/final/H-1.png,1254x627,32658,51210,2454371,58346
H-2,ponchi-batch-014,assets/ponchi/final_candidates/ponchi-batch-014/H-2_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-014/H-2_candidate.png,assets/ponchi/final/H-2.webp,assets/ponchi/final/H-2.png,1254x627,45478,49558,695360,54447
H-3,ponchi-batch-014,assets/ponchi/final_candidates/ponchi-batch-014/H-3_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-014/H-3_candidate.png,assets/ponchi/final/H-3.webp,assets/ponchi/final/H-3.png,1254x627,36288,51140,639046,59950
H-4,ponchi-batch-014,assets/ponchi/final_candidates/ponchi-batch-014/H-4_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-014/H-4_candidate.png,assets/ponchi/final/H-4.webp,assets/ponchi/final/H-4.png,1254x627,40566,40558,660231,43325
H-50,ponchi-batch-014,assets/ponchi/final_candidates/ponchi-batch-014/H-50_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-014/H-50_candidate.png,assets/ponchi/final/H-50.webp,assets/ponchi/final/H-50.png,1254x627,25784,26168,611328,467989
H-51,ponchi-batch-014,assets/ponchi/final_candidates/ponchi-batch-014/H-51_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-014/H-51_candidate.png,assets/ponchi/final/H-51.webp,assets/ponchi/final/H-51.png,1254x627,41538,57412,686901,56721
H-52,ponchi-batch-014,assets/ponchi/final_candidates/ponchi-batch-014/H-52_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-014/H-52_candidate.png,assets/ponchi/final/H-52.webp,assets/ponchi/final/H-52.png,1254x627,40114,41836,672219,532229
H-53,ponchi-batch-014,assets/ponchi/final_candidates/ponchi-batch-014/H-53_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-014/H-53_candidate.png,assets/ponchi/final/H-53.webp,assets/ponchi/final/H-53.png,1254x627,45468,69870,429703,630118
H-54,ponchi-batch-014,assets/ponchi/final_candidates/ponchi-batch-014/H-54_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-014/H-54_candidate.png,assets/ponchi/final/H-54.webp,assets/ponchi/final/H-54.png,1254x627,41266,70650,672416,74052
H-55,ponchi-batch-014,assets/ponchi/final_candidates/ponchi-batch-014/H-55_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-014/H-55_candidate.png,assets/ponchi/final/H-55.webp,assets/ponchi/final/H-55.png,1254x627,46040,59280,699695,591109
